Player,Pos,Team,FantasyPoints,Value,Value Rank,ADP Rank,Diff in ADP and Value
George Pickens,WR,PIT,141.10000000000002,0.5636133263769846,139.0,140.0,1.0
Isaiah Spiller,RB,LAC,105.78,0.5449606351721893,157.5,141.0,-16.5
David Njoku,TE,CLE,138.49,0.5721060869360552,135.0,142.0,7.0
Michael Gallup,WR,DAL,149.22,0.5795397041459579,130.0,143.0,13.0
Tyler Allgeier,RB,ATL,98.88000000000002,0.531427136821707,168.0,144.0,-24.0
Kenny Golladay,WR,NYG,161.39999999999998,0.6034292707994179,106.0,145.0,39.0
Trevor Lawrence,QB,JAC,261.232,0.5123743247961151,177.0,146.0,-31.0
Rachaad White,RB,TB,96.97999999999999,0.527700521333893,169.0,147.0,-22.0
Brian Robinson Jr.,RB,WAS,126.3,0.5852080824405801,122.0,148.0,26.0
Raheem Mostert,RB,MIA,108.5,0.5502955794494808,149.0,149.0,0.0
Julio Jones,WR,TB,128.82999999999998,0.5395472358319964,162.0,150.0,-12.0
Jahan Dotson,WR,WAS,140.04000000000002,0.5615342672100988,141.0,151.0,10.0
Gerald Everett,TE,LAC,136.89999999999998,0.5689874981857267,137.0,152.0,15.0
Tyler Higbee,TE,LAR,146.14999999999998,0.5871302314816631,119.0,153.0,34.0
Robert Tonyan,TE,GB,124.64999999999999,0.5449606351721893,157.5,154.0,-3.5
Jameis Winston,QB,NO,245.06,0.4806549428651006,201.0,155.0,-46.0
Evan Engram,TE,JAC,127.06000000000002,0.5496875527119954,151.0,156.0,5.0
Nico Collins,WR,HOU,134.23000000000002,0.5501386693236783,150.0,157.0,7.0
Matt Ryan,QB,IND,250.58799999999997,0.4914974325580666,191.0,158.0,-33.0
Austin Hooper,TE,TEN,124.45,0.5445683598576826,159.0,160.0,1.0
Corey Davis,WR,NYJ,138.54000000000002,0.5585922023512984,144.0,162.0,18.0
Robbie Anderson,WR,CAR,156.28,0.5933870227480456,114.0,163.0,49.0
Marlon Mack,RB,HOU,113.35,0.5598082558262691,143.0,165.0,22.0
Mecole Hardman,WR,KC,166.23999999999998,0.6129223334104809,100.0,166.0,66.0
Joshua Palmer,WR,LAC,127.37999999999998,0.5367032398018226,166.0,167.0,1.0
Mark Ingram II,RB,NO,106.12,0.5456275032068506,156.0,168.0,12.0
Ryan Tannehill,QB,TEN,264.516,0.5188154854603156,173.0,170.0,-3.0
Darrel Williams,RB,ARI,91.94,0.5178151834083233,174.0,171.0,-3.0
K.J. Osborn,WR,MIN,130.86999999999998,0.543548444039965,160.0,172.0,12.0
